step,epoch,data/consumed_samples,data/consumed_tokens,training/foundation_loss,training/total_loss,training/grad_norm,training/lr,performance/step_time,performance/tokens_per_second,memory/device_max_allocated_gb,memory/device_max_reserved_gb
61,1,992,4929,6.30859,6.30859,41.8834,9.64671e-06,4.94537,16.5812,38.8125,48.502
62,1,1008,5029,6.07227,6.07227,39.7063,9.20482e-06,4.94689,20.2147,38.8125,48.502
63,1,1024,5090,4.80859,4.80859,37.357,8.76877e-06,4.97404,12.2637,38.8125,48.502
64,2,1040,5178,4.65234,4.65234,33.2585,8.339e-06,4.96341,17.7297,38.8125,48.502
65,2,1056,5267,5.125,5.125,34.722,7.91593e-06,4.96093,17.9402,38.8125,48.502
66,2,1072,5333,5.55078,5.55078,40.5621,7.5e-06,4.93323,13.3787,38.8125,48.502
67,2,1088,5404,5.72266,5.72266,39.5664,7.09162e-06,4.95584,14.3265,38.8125,48.502
68,2,1104,5471,4.85156,4.85156,39.6073,6.6912e-06,4.94709,13.5433,38.8125,48.502
69,2,1120,5557,4.84375,4.84375,34.4218,6.29915e-06,4.95678,17.35,38.8125,48.502
70,2,1136,5654,6.0,6.0,37.9028,5.91585e-06,4.95721,19.5675,38.8125,48.502
71,2,1152,5756,5.40234,5.40234,36.6784,5.54171e-06,4.96725,20.5345,38.8125,48.502
72,2,1168,5834,5.25,5.25,39.2775,5.17709e-06,4.94839,15.7627,38.8125,48.502
73,2,1184,5904,5.67773,5.67773,41.5684,4.82236e-06,4.95753,14.1199,38.8125,48.502
74,2,1200,5982,4.96289,4.96289,38.9447,4.47788e-06,4.94484,15.774,38.8125,48.502
75,2,1216,6070,5.56055,5.56055,37.319,4.14399e-06,4.96525,17.7232,38.8125,48.502
76,2,1232,6171,4.6875,4.6875,36.4235,3.82103e-06,4.92985,20.4874,38.8125,48.502
77,2,1248,6227,4.1543,4.1543,44.4991,3.50933e-06,4.94064,11.3346,38.8125,48.502
78,2,1264,6291,5.0,5.0,44.6793,3.2092e-06,4.94852,12.9332,38.8125,48.502
79,2,1280,6361,4.89648,4.89648,38.5926,2.92095e-06,4.92876,14.2024,38.8125,48.502
80,2,1296,6434,3.98926,3.98926,38.21,2.64485e-06,4.93936,14.7793,38.8125,48.502
81,2,1312,6517,5.20898,5.20898,41.8104,2.3812e-06,4.99059,16.6313,38.8125,48.502
82,2,1328,6589,5.21484,5.21484,40.5301,2.13025e-06,4.92808,14.6101,38.8125,48.502
83,2,1344,6655,4.94141,4.94141,42.9298,1.89226e-06,4.95748,13.3132,38.8125,48.502
84,2,1360,6764,5.72461,5.72461,38.0872,1.66747e-06,4.95328,22.0056,38.8125,48.502
85,2,1376,6839,4.02734,4.02734,38.577,1.4561e-06,5.01264,14.9622,38.8125,48.502
86,2,1392,6918,5.03125,5.03125,37.8294,1.25837e-06,4.94153,15.987,38.8125,48.502
87,2,1408,6973,4.375,4.375,44.8267,1.07448e-06,4.96353,11.0808,38.8125,48.502
88,2,1424,7062,4.31641,4.31641,37.1406,9.04611e-07,4.94992,17.9801,38.8125,48.502
89,2,1440,7152,5.08984,5.08984,35.5051,7.48933e-07,4.966,18.1232,38.8125,48.502
90,2,1456,7220,4.85156,4.85156,42.5792,6.07605e-07,4.95512,13.7232,38.8125,48.502
91,2,1472,7317,4.87695,4.87695,34.6946,4.80769e-07,4.96227,19.5475,38.8125,48.502
92,2,1488,7373,3.66113,3.66113,44.4423,3.68553e-07,4.97371,11.2592,38.8125,48.502
93,2,1504,7481,5.0957,5.0957,41.8698,2.7107e-07,4.93695,21.8759,38.8125,48.502
94,2,1520,7559,4.31641,4.31641,36.3238,1.88417e-07,4.94654,15.7686,38.8125,48.502
95,2,1536,7635,4.99805,4.99805,39.0936,1.20678e-07,4.95147,15.349,38.8125,48.502
96,3,1552,7708,4.5625,4.5625,38.2503,6.79212e-08,4.95787,14.7241,38.8125,48.502
97,3,1568,7782,4.94531,4.94531,39.536,3.01999e-08,4.95952,14.9208,38.8125,48.502
98,3,1584,7859,4.25,4.25,38.334,7.55186e-09,4.97979,15.4625,38.8125,48.502
99,3,1600,7929,5.34375,5.34375,43.229,0.0,4.96204,14.1071,38.8125,48.502
